,visitId,ranking,pageId
0,1495103173,4,3760621
0,1495103173,4,3855941
0,1495103173,4,3703461
0,1495103173,4,3654266
0,1495103173,4,3840966
0,1495103173,4,3755486
0,1495103173,4,3854856
1,1495112286,1,3654806
2,1495138189,1,3730056
3,1495149785,2,3856066
3,1495149785,2,3729881
4,1495115362,4,3649976
4,1495115362,4,3649561
4,1495115362,4,3649581
4,1495115362,4,3749196
4,1495115362,4,3729316
4,1495115362,4,3749381
5,1495115362,4,3759791
5,1495115362,4,3651221
5,1495115362,4,3761536
5,1495115362,4,3655506
5,1495115362,4,3654036
5,1495115362,4,3654756
6,1495115362,4,3764416
6,1495115362,4,3729956
6,1495115362,4,3730021
6,1495115362,4,3654691
6,1495115362,4,3655221
6,1495115362,4,3653906
7,1495115362,4,3650276
7,1495115362,4,3751006
7,1495115362,4,3650811
7,1495115362,4,3764316
7,1495115362,4,3650251
7,1495115362,4,3655036
8,1495115362,4,3856011
8,1495115362,4,3650686
8,1495115362,4,3651936
8,1495115362,4,3729626
8,1495115362,4,3729871
8,1495115362,4,3650631
9,1495115362,4,3649576
9,1495115362,4,3670696
9,1495115362,4,3651186
9,1495115362,4,3747696
9,1495115362,4,3651156
9,1495115362,4,3655641
10,1495115362,4,3763206
10,1495115362,4,3759756
10,1495115362,4,3650401
10,1495115362,4,3650361
10,1495115362,4,3730101
10,1495115362,4,3654141
11,1495115362,4,3650686
11,1495115362,4,3655446
11,1495115362,4,3654111
11,1495115362,4,3654101
11,1495115362,4,3749211
11,1495115362,4,3673206
12,1495115362,1,3655646
13,1495115362,1,3654106
14,1495115362,1,3749301
15,1495115362,1,3764241
16,1495115362,1,3653896
17,1495115362,1,3650901
18,1495115362,1,3654756
19,1495115362,1,3682826
20,1495115362,4,3649406
20,1495115362,4,3693356
20,1495115362,4,3651221
20,1495115362,4,3654021
20,1495115362,4,3653956
20,1495115362,4,3764526
21,1495115362,4,3654901
21,1495115362,4,3651901
21,1495115362,4,3845131
21,1495115362,4,3654486
21,1495115362,4,3749366
21,1495115362,4,3781326
22,1495115362,4,3788321
22,1495115362,4,3651151
22,1495115362,4,3651046
22,1495115362,4,3651221
22,1495115362,4,3749321
22,1495115362,4,3654051
23,1495115362,4,3764476
23,1495115362,4,3654201
23,1495115362,4,3766111
23,1495115362,4,3750996
23,1495115362,4,3692796
23,1495115362,4,3763051
24,1495115362,4,3697746
24,1495115362,4,3654376
24,1495115362,4,3749126
24,1495115362,4,3749221
24,1495115362,4,3854641
24,1495115362,4,3649731
25,1495115362,4,3764376
25,1495115362,4,3654031
25,1495115362,4,3654156
25,1495115362,4,3650511
25,1495115362,4,3649426
25,1495115362,4,3654956
26,1495115362,4,3655156
26,1495115362,4,3781341
26,1495115362,4,3654471
26,1495115362,4,3729751
26,1495115362,4,3650606
26,1495115362,4,3847206
27,1495115362,4,3650926
27,1495115362,4,3790121
27,1495115362,4,3848546
27,1495115362,4,3749171
27,1495115362,4,3855996
27,1495115362,4,3698626
28,1495115362,1,3653976
29,1495115362,1,3650651
30,1495115362,1,3729451
31,1495115362,1,3655236
32,1495115362,1,3690851
33,1495115362,1,3650111
34,1495115362,1,3730076
35,1495115362,1,3655091
36,1495162812,3,3650561
36,1495162812,3,3655436
36,1495162812,3,3654866
36,1495162812,3,3655606
37,1495099619,1,3845156
38,1495117489,1,3654381
39,1495122367,4,3654806
39,1495122367,4,3756181
39,1495122367,4,3649496
39,1495122367,4,3729966
39,1495122367,4,3729926
39,1495122367,4,3655066
39,1495122367,4,3649506
39,1495122367,4,3651001
40,1495167977,4,3650446
40,1495167977,4,3654931
40,1495167977,4,3807391
40,1495167977,4,3654541
40,1495167977,4,3764431
40,1495167977,4,3650041
40,1495167977,4,3655466
40,1495167977,4,3654641
41,1495115756,2,3650211
41,1495115756,2,3654286
42,1495119070,4,3774496
42,1495119070,4,3654361
42,1495119070,4,3655191
42,1495119070,4,3765996
42,1495119070,4,3759816
42,1495119070,4,3764316
43,1495166361,2,3655391
43,1495166361,2,3655206
44,1495120358,4,3650056
44,1495120358,4,3763226
44,1495120358,4,3654946
44,1495120358,4,3653001
44,1495120358,4,3655476
44,1495120358,4,3848871
44,1495120358,4,3655451
44,1495120358,4,3839206
44,1495120358,4,3654426
45,1495122020,1,3651066
46,1495107043,1,3654241
47,1495135642,1,3749336
48,1495141061,4,3654761
48,1495141061,4,3729766
48,1495141061,4,3650286
48,1495141061,4,3650901
48,1495141061,4,3649436
48,1495141061,4,3655546
48,1495141061,4,3839671
48,1495141061,4,3655436
48,1495141061,4,3651166
48,1495141061,4,3650811
48,1495141061,4,3822896
48,1495141061,4,3654306
48,1495141061,4,3749166
48,1495141061,4,3655221
48,1495141061,4,3653946
48,1495141061,4,3760951
48,1495141061,4,3729746
48,1495141061,4,3654646
48,1495141061,4,3655216
48,1495141061,4,3650291
48,1495141061,4,3650301
48,1495141061,4,3655661
48,1495141061,4,3649671
48,1495141061,4,3655371
48,1495141061,4,3650616
49,1495109992,1,3847401
50,1495162827,4,3665886
50,1495162827,4,3751106
50,1495162827,4,3765546
50,1495162827,4,3751116
50,1495162827,4,3815341
50,1495162827,4,3654321
50,1495162827,4,3668251
50,1495162827,4,3729886
50,1495162827,4,3654366
50,1495162827,4,3700596
50,1495162827,4,3649626
51,1495117549,4,3662256
51,1495117549,4,3751041
51,1495117549,4,3854641
51,1495117549,4,3847441
51,1495117549,4,3649211
51,1495117549,4,3654201
51,1495117549,4,3650521
51,1495117549,4,3654531
51,1495117549,4,3650776
51,1495117549,4,3655166
